id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
7419,Gintama: THE FINAL,2021,1,104,movie,finished
3689,Fruits Basket: The Final,2021,13,24,tv,finished
2655,Gintama°,2015,51,24,tv,finished
3344,Shingeki no Kyojin 3 Part 2,2019,10,24,tv,finished
1487,Hagane no Renkinjutsushi: Fullmetal Alchemist,2009,64,25,tv,finished
2880,Owarimonogatari (Ge),2017,7,24,tv,finished
2206,Gintama': Enchousen,2012,13,24,tv,finished
2025,Hunter x Hunter (2011),2011,148,24,tv,finished
1862,Steins;Gate,2011,24,24,tv,finished
1930,Gintama',2011,51,24,tv,finished
3024,3-gatsu no Lion 2,2017,22,25,tv,finished
9658,Ginga Eiyuu Densetsu,1988,110,26,ova,finished
2857,Haikyuu!!: Karasuno Koukou VS Shiratorizawa Gakuen Koukou,2016,10,25,tv,finished
6899,Violet Evergarden (Movie),2020,1,140,movie,finished
6185,Gintama: Kanketsu-hen - Yorozuya yo Eien Nare,2013,1,110,movie,finished
6454,Koe no Katachi,2016,1,130,movie,finished
3203,Mob Psycho 100 II,2019,13,24,tv,finished
3477,Shingeki no Kyojin: The Final Season,2021,16,24,tv,finished
2968,Gintama.,2017,12,24,tv,finished
2273,Monogatari Series: Second Season,2013,26,26,tv,finished
3249,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,2018,14,24,tv,finished
3506,Fruits Basket: 2nd Season,2020,25,24,tv,finished
1077,Ashita no Joe 2,1980,47,24,tv,finished
3544,Jujutsu Kaisen,2020,24,24,tv,finished
2874,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,2017,12,24,tv,finished
14402,Shiguang Dailiren,,11,24,ona,finished
3206,Vinland Saga,2019,24,24,tv,finished
14233,Modao Zushi 3,,12,24,ona,finished
2651,Haikyuu!! 2,2015,25,24,tv,finished
9,Monster,2004,74,24,tv,finished
1363,Clannad: After Story,2008,24,24,tv,finished
5702,Suzumiya Haruhi no Shoushitsu,2010,1,162,movie,finished
4898,Sen to Chihiro no Kamikakushi,2001,1,125,movie,finished
3752,Odd Taxi,2021,13,24,tv,finished
3863,JoJo no Kimyou na Bouken: Stone Ocean,2021,0,24,ona,releasing
178,Hajime no Ippo: THE FIGHTING!,2000,75,23,tv,finished
6529,Kimi no Na wa.,2016,1,107,movie,finished
11,One Piece,1999,1004,24,tv,releasing
7340,Kimetsu no Yaiba: Mugen Ressha-hen,2020,1,117,movie,finished
3527,Kaguya-sama wa Kokurasetai?: Tensai-tachi no Renai Zunousen,2020,12,25,tv,finished
3152,Gintama.: Shirogane no Tamashii-hen,2018,12,24,tv,finished
3551,Haikyuu!! TO THE TOP 2,2020,12,24,tv,finished
3066,Shingeki no Kyojin 3,2018,12,24,tv,finished
6543,Fate/stay night [Heaven's Feel] III. spring song,2020,1,122,movie,finished
2566,Mushishi Zoku Shou 2,2014,10,24,tv,finished
6692,Made in Abyss: Fukaki Tamashii no Reimei,2020,1,105,movie,finished
2487,Mushishi Zoku Shou,2014,10,24,tv,finished
3264,JoJo no Kimyou na Bouken: Ougon no Kaze,2018,39,24,tv,finished
4916,Howl no Ugoku Shiro,2004,1,119,movie,finished
1169,ARIA The ORIGINATION,2008,13,24,tv,finished
4896,Mononoke-hime,1997,1,134,movie,finished
3248,Kimetsu no Yaiba,2019,26,24,tv,finished
9488,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,1999,4,30,ova,finished
14381,Tian Guan Ci Fu Special,,1,22,ona,finished
2256,Shingeki no Kyojin,2013,25,24,tv,finished
3244,Yakusoku no Neverland,2019,12,23,tv,finished
3558,Ousama Ranking,2021,23,23,tv,releasing
1758,Yojouhan Shinwa Taikei,2010,11,23,tv,finished
1512,Hajime no Ippo: New Challenger,2009,26,23,tv,finished
7033,Seishun Buta Yarou wa Yumemiru Shoujo no Yume wo Minai,2019,1,90,movie,finished
3642,Re:Zero kara Hajimeru Isekai Seikatsu 2nd Season Part 2,2021,12,30,tv,finished
460,Gintama,2006,201,24,tv,finished
2493,Ping Pong THE ANIMATION,2014,11,23,tv,finished
2059,Fate/Zero 2nd Season,2012,12,24,tv,finished
3130,BANANA FISH,2018,24,23,tv,finished
2981,Natsume Yuujinchou Roku,2017,11,24,tv,finished
2055,Natsume Yuujinchou Shi,2012,13,24,tv,finished
283,Mushishi,2005,26,25,tv,finished
2899,Violet Evergarden,2018,13,24,tv,finished
2640,Shingeki no Kyojin 2,2017,12,25,tv,finished
5441,Kara no Kyoukai: Mujun Rasen,2008,1,114,movie,finished
1982,Natsume Yuujinchou San,2011,13,24,tv,finished
13935,Tian Guan Ci Fu,,11,25,ona,finished
2866,Natsume Yuujinchou Go,2016,11,24,tv,finished
643,Death Note,2006,37,23,tv,finished
444,NANA,2006,47,23,tv,finished
414,Koukaku Kidoutai: Stand Alone Complex 2nd GIG,2004,26,25,tv,finished
12514,Zoku Owarimonogatari,2019,6,26,ova,finished
3334,Yuru Camp△ SEASON 2,2021,13,24,tv,finished
2807,Mob Psycho 100,2016,12,24,tv,finished
2789,JoJo no Kimyou na Bouken: Diamond wa Kudakenai,2016,39,24,tv,finished
2384,Hajime no Ippo: Rising,2013,25,23,tv,finished
3076,Sora yori mo Tooi Basho,2018,13,24,tv,finished
2096,Bakuman. 3,2012,25,24,tv,finished
3185,Chihayafuru 3,2019,24,23,tv,finished
3422,Tensei Shitara Slime Datta Ken 2nd Season,2021,12,24,tv,finished
2697,Ansatsu Kyoushitsu 2,2016,25,23,tv,finished
7394,Josee to Tora to Sakana-tachi,2020,1,98,movie,finished
6665,Kimi no Suizou wo Tabetai,2018,1,108,movie,finished
6462,Mushishi Zoku Shou: Suzu no Shizuku,2015,1,47,movie,finished
3416,Given,2019,11,23,tv,finished
2643,Shouwa Genroku Rakugo Shinjuu,2016,13,24,tv,finished
2441,Haikyuu!!,2014,25,24,tv,finished
3377,Haikyuu!! TO THE TOP,2020,13,24,tv,finished
2987,Saiki Kusuo no Ψ-nan 2,2018,24,24,tv,finished
17014,Kimetsu no Yaiba: Yuukaku Hen,2022,11,,tv,releasing
6099,Ookami Kodomo no Ame to Yuki,2012,1,117,movie,finished
2728,Owarimonogatari,2015,12,24,tv,finished
2532,Shigatsu wa Kimi no Uso,2014,22,23,tv,finished
4443,Saiki Kusuo no Ψ-nan,2016,120,5,tv short,finished
3647,Tokyo Revengers,2021,24,24,tv,finished
2101,Uchuu Kyoudai,2012,99,24,tv,finished
2692,Steins;Gate 0,2018,23,24,tv,finished
3613,Tensei Shitara Slime Datta Ken 2nd Season Part 2,2021,12,24,tv,finished
14438,Wu Liuqi: Xuanwu Guo Pian,,10,15,ona,finished
3246,Kaze ga Tsuyoku Fuiteiru,2018,23,24,tv,finished
3247,Kaguya-sama wa Kokurasetai: Tensai-tachi no Renai Zunousen,2019,12,24,tv,finished
13706,Modao Zushi 2,,8,24,ona,finished
5927,K-ON! Movie,2011,1,110,movie,finished
2768,3-gatsu no Lion,2016,22,25,tv,finished
