id,en_title,season_year,episodes_count,episode_duration,format_destination,release_status
13681,Nekogami Yaoyorozu Specials,2011,7,3,special,finished
2293,Kyoushoku Soukou Guyver,1986,1,54,ova,finished
952,Magical Nyan Nyan Taruto,2001,12,22,tv,finished
5828,Kishin Douji Zenki Gaiden: Anki Kitan,1997,1,30,ova,finished
2406,Sazae-san,1969,2616,24,tv,releasing
956,Daikuu Maryuu Gaiking,1976,44,23,tv,finished
11471,Dororo (Pilot),1968,1,14,special,finished
2467,3 Choume no Tama: Uchi no Tama Shirimasenka?,1994,26,23,tv,finished
2487,Kyouryuu Boukenki Jura Tripper,1995,39,25,tv,finished
10391,Kuragehime: Soreike! Amars Tankentai,2010,6,1,special,finished
10201,Senkou no Night Raid Picture Drama,2010,1,18,special,finished
3152,Download: Namu Amida Butsu wa Ai no Uta,1992,1,50,ova,finished
2523,Izumo: Takeki Tsurugi no Senki,2005,12,30,tv,finished
48862,Cardfight!! Vanguard: overDress 2,2021,13,25,tv,releasing
14077,Blood-C: None-None Gekijou,2012,7,2,ona,finished
9100,Umi Monogatari: Marin no Kore Naani?,2009,4,2,special,finished
12157,Busou Chuugakusei: Basket Army,2011,5,4,ona,finished
10036,Boku no Chikyuu wo Mamotte: Kin-iro no Toki Nasarete,2001,1,27,special,finished
8314,Tentai Senshi Sunred: DVD Short Corners,2009,4,1,special,finished
8678,Sangokushi II,1986,1,91,special,finished
968,Fighting Beauty Wulong Rebirth,2006,25,25,tv,finished
7363,Hokuto no Ken: Legend of Heroes,,1,6,special,finished
49215,Celia-sensei no Wakuwaku Magical Kyoushitsu,2021,18,2,ona,finished
42104,Gisoku no Moses,,1,3,music,finished
40557,Sweet Devil,,1,4,music,finished
,Love,,1,1,music,finished
41193,Star Night Show,,1,5,music,finished
7108,Shikabane Hime: Puchitto,2009,1,3,special,finished
6735,Ginga Tetsudou 999: Kimi wa Haha no You ni Aiseru ka!!,1980,1,93,special,finished
48470,D_CIDE TRAUMEREI THE ANIMATION,2021,13,24,tv,finished
48492,SCARLET NEXUS,2021,26,24,tv,releasing
